Price,Cells,Capacity (mAh),Dollars per Wh,Link
$53.73,6,4000,0.60507,http://www.hobbyking.com/hobbyking/store/__11929__Turnigy_nano_tech_4000mah_6S_25_50C_Lipo_Pack.html
$17.91,2,4000,0.60507,http://www.hobbyking.com/hobbyking/store/__11926__Turnigy_nano_tech_4000mah_2S_25_50C_Lipo_Pack.html
$44.33,6,3300,0.60511,http://www.hobbyking.com/hobbyking/store/__11925__Turnigy_nano_tech_3300mah_6S_25_50C_Lipo_Pack.html
$20.15,2,4500,0.60511,http://www.hobbyking.com/hobbyking/store/__11930__Turnigy_nano_tech_4500mah_2S_25_50C_Lipo_Pack.html
$60.45,6,4500,0.60511,http://www.hobbyking.com/hobbyking/store/__11933__Turnigy_nano_tech_4500mah_6S_25_50C_Lipo_Pack.html
$22.39,2,5000,0.60514,http://www.hobbyking.com/hobbyking/store/__11934__Turnigy_nano_tech_5000mah_2S_25_50C_Lipo_Pack.html
$80.61,6,6000,0.60518,http://www.hobbyking.com/hobbyking/store/__11941__Turnigy_nano_tech_6000mah_6S_25_50C_Lipo_Pack.html
$26.87,3,4000,0.60518,http://www.hobbyking.com/hobbyking/store/__11927__Turnigy_nano_tech_4000mah_3S_25_50C_Lipo_Pack.html
$55.98,5,5000,0.60519,http://www.hobbyking.com/hobbyking/store/__14613__Turnigy_nano_tech_5000mah_5S_25_50C_Lipo_Pack.html
$44.79,5,4000,0.60527,http://www.hobbyking.com/hobbyking/store/__14610__Turnigy_nano_tech_4000mah_5S_25_50C_Lipo_Pack.html
$103.95,8,5800,0.60549,http://www.hobbyking.com/hobbyking/store/__10870__Turnigy_5800mAh_8S_25C_Lipo_Pack.html
$40.37,6,3000,0.60616,http://www.hobbyking.com/hobbyking/store/__11921__Turnigy_nano_tech_3000mah_6S_25_50C_Lipo_Pack.html
$89.83,5,8000,0.60696,http://www.hobbyking.com/hobbyking/store/__18209__Turnigy_nano_tech_8000mAh_5S_25_50C_Lipo_Pack.html
$89.99,10,4000,0.60804,http://www.hobbyking.com/hobbyking/store/__24297__Turnigy_nano_tech_A_SPEC_4000mah_10S_65_130C_Lipo_Pack.html
$23.41,2,5200,0.60837,http://www.hobbyking.com/hobbyking/store/__21002__Turnigy_5200mAh_2S_30C_Hard_Case_Car_Lipo_Pack_ROAR_APPROVED_.html
$49.99,6,3700,0.6086,http://www.hobbyking.com/hobbyking/store/__9341__Rhino_3700mAh_6S_22_2v_25C_Lipoly_Pack.html
$40.55,5,3600,0.60886,http://www.hobbyking.com/hobbyking/store/__9507__Turnigy_3600mAh_5S_30C_Lipo_Pack.html
$11.75,4,1300,0.61071,http://www.hobbyking.com/hobbyking/store/__21339__ZIPPY_Compact_1300mAh_4S_25C_Lipo_Pack.html
$14.95,2,3300,0.6122,http://www.hobbyking.com/hobbyking/store/__9499__Turnigy_3300mAh_2S_30C_Lipo_Pack.html
$44.85,6,3300,0.6122,http://www.hobbyking.com/hobbyking/store/__9503__Turnigy_3300mAh_6S_30C_Lipo_Pack.html
$48.99,6,3600,0.61299,http://www.hobbyking.com/hobbyking/store/__9508__Turnigy_3600mAh_6S_30C_Lipo_Pack.html
$51.08,5,4500,0.61357,http://www.hobbyking.com/hobbyking/store/__21423__ZIPPY_Compact_4500mAh_5S_35C_Lipo_Pack.html
